Date,Ticker,Type,Quantity,Price per share,Total Amount,Currency,FX Rate
2019-11-10T21:10:40.342104Z,,CASH TOP-UP,,,USD 32,USD,1.1081
2019-11-11T17:22:25.940385Z,BYND,BUY - MARKET,0.41862899,USD 76.44,USD 32,USD,1.1037
2019-12-13T10:25:40.983156Z,,CASH TOP-UP,,,USD 24.52,USD,1.1181
2019-12-13T14:34:55.857342Z,DBX,BUY - MARKET,1.46039309,USD 16.79,USD 24.52,USD,1.1162
2020-01-03T15:54:28.537904Z,,CASH TOP-UP,,,USD 35.80,USD,1.1167
2020-01-03T15:57:01.282754Z,PFE,BUY - MARKET,0.86956521,USD 39.10,USD 34,USD,1.1169
2020-01-16T07:55:26.377127Z,,CASH TOP-UP,,,USD 32,USD,1.1150
2020-01-16T14:49:36.303250Z,SPCE,BUY - MARKET,2.19908913,USD 15.37,USD 33.80,USD,1.1150
2020-01-29T14:38:33.662300Z,,CASH TOP-UP,,,USD 34,USD,1.0997
2020-01-29T14:39:18.516801Z,MSFT,BUY - MARKET,0.20328849,USD 167.25,USD 34,USD,1.0998
2020-02-03T16:06:56.060680Z,BYND,SELL - MARKET,0.41862899,USD 104.15,USD 43.59,USD,1.1058
2020-02-03T17:28:05.936523Z,NEE,BUY - MARKET,0.16316676,USD 267.15,USD 43.59,USD,1.1064
2020-02-05T16:50:04.266423Z,,CASH TOP-UP,,,USD 35,USD,1.1005
2020-02-05T16:51:09.730446Z,AMC,BUY - MARKET,4.88472622,USD 6.94,USD 35,USD,1.1006
2020-02-05T20:49:18.358520Z,,CASH TOP-UP,,,USD 35,USD,1.1000
2020-02-05T20:50:20.163883Z,PARAA,BUY - MARKET,0.87687532,USD 38.66,USD 34.99,USD,1.1000
2020-02-13T14:36:06.058478Z,,CASH TOP-UP,,,USD 40,USD,1.0859
2020-02-13T14:37:15.162819Z,PLUG,BUY - MARKET,8.97004608,USD 4.34,USD 40.01,USD,1.0860
2020-02-18T14:43:55.509336Z,SPCE,SELL - MARKET,1.19908913,USD 32.35,USD 37.71,USD,1.0802
2020-02-19T14:39:09.280569Z,PLUG,SELL - MARKET,1.3,USD 5.07,USD 5.51,USD,1.0793
2020-02-19T20:25:35.510342Z,,CASH TOP-UP,,,USD 35,USD,1.0808
2020-02-19T20:28:18.275772Z,SONY,BUY - MARKET,1.14997018,USD 67.08,USD 78.22,USD,1.0807
2020-02-21T14:47:48.835626Z,PLUG,SELL - MARKET,7.67004608,USD 5.44,USD 40.64,USD,1.0836
