Symbol,Type,Quantity,Price,Value,Fees,Date
XRP,Buy,387.486218,€0.26,€100.00,€0.00,"Feb 21, 2020, 9:00:16 AM"
XRP,Buy,138.038012,€0.19,€25.54,€0.00,"Mar 11, 2020, 5:17:41 PM"
XRP,Sell,525.52423,€0.20,€102.57,€0.00,"Apr 29, 2020, 12:06:08 PM"
LTC,Buy,2.26448381,€44.16,€100.00,€0.00,"Apr 30, 2020, 12:19:14 PM"
LTC,Sell,2.26448381,€41.98,€95.07,€0.00,"May 4, 2020, 3:32:48 PM"
LTC,Buy,2.50243781,€39.96,€100.00,€0.00,"May 10, 2020, 11:51:30 AM"
LTC,Sell,2.50243781,€42.03,€105.16,€0.00,"May 18, 2020, 6:10:49 AM"
BTC,Buy,0.01157867,"€8,636.57",€100.00,€0.00,"May 24, 2020, 10:50:22 AM"
BTC,Payment,0.00003585,"36,266.90 PLN",1.30 PLN,0.00 PLN,"Jun 14, 2020, 2:08:48 AM"
BTC,Payment,0.00156429,"€8,150.69",€12.75,€0.00,"Jun 15, 2020, 4:28:55 AM"
BTC,Payment,0.00654002,"€8,139.12",€53.23,€0.00,"Jun 16, 2020, 3:23:49 AM"
BTC,Sell,0.00343851,"€8,947.13",€30.76,€0.00,"Jul 27, 2020, 7:20:34 PM"
XRP,Buy,370.64858,€0.27,€100.00,€2.49,"Jan 30, 2021, 2:43:09 PM"
XRP,Sell,361.382368,€0.33,€117.85,€2.95,"Jan 30, 2021, 9:19:25 PM"
BTC,Buy,0.00002069,"€48,314.45",€1.00,€0.01,"May 3, 2021, 8:49:07 AM"
XRP,Buy,0.745135,€1.34,€1.00,€0.01,"May 3, 2021, 8:49:36 AM"
LTC,Buy,0.00434787,€230.00,€1.00,€0.01,"May 3, 2021, 8:49:57 AM"
ETH,Buy,0.00038904,"€2,570.39",€1.00,€0.01,"May 3, 2021, 8:50:14 AM"
XLM,Buy,2.1113834,€0.47,€1.00,€0.01,"May 3, 2021, 8:50:37 AM"
ETH,Buy,0.00035759,"€2,796.45",€1.00,€0.01,"May 4, 2021, 9:26:19 AM"
BTC,Buy,0.00002138,"€46,763.94",€1.00,€0.01,"May 4, 2021, 9:30:51 AM"
XRP,Buy,0.806554,€1.24,€1.00,€0.01,"May 4, 2021, 9:36:54 AM"
